Date,close
2018/10/10,3281.5978
2018/10/11,3124.1139
2018/10/12,3170.7262
2018/10/15,3126.4516
2018/10/16,3100.9738
2018/10/17,3118.2463
2018/10/18,3044.3918
2018/10/19,3134.9455
2018/10/22,3270.2732
2018/10/23,3183.4257
2018/10/24,3188.2018
2018/10/25,3194.3084
2018/10/26,3173.635
2018/10/29,3076.8889
2018/10/30,3110.2605
2018/10/31,3153.8234
2018/11/1,3177.0338
2018/11/2,3290.2455
2018/11/5,3262.8351
2018/11/6,3243.1504
2018/11/7,3221.9101
2018/11/8,3212.7737
2018/11/9,3167.4442
2018/11/12,3205.1407
2018/11/13,3237.3823
2018/11/14,3204.9427
2018/11/15,3242.3715
2018/11/16,3257.6735
2018/11/19,3294.6031
2018/11/20,3218.4076
2018/11/21,3226.4918
2018/11/22,3214.4273
2018/11/23,3143.4752
2018/11/26,3141.2434
2018/11/27,3137.2413
2018/11/28,3178.9326
2018/11/29,3137.6542
2018/11/30,3172.69
2018/12/3,3260.9502
2018/12/4,3267.7095
2018/12/5,3252.0041
2018/12/6,3181.673
2018/12/7,3181.5646
2018/12/10,3144.7631
2018/12/11,3159.8158
2018/12/12,3170.6092
2018/12/13,3219.6924
2018/12/14,3165.9109
2018/12/17,3161.1966
2018/12/18,3128.4265
2018/12/19,3091.1255
2018/12/20,3067.4169
2018/12/21,3029.3951
2018/12/24,3038.1981
2018/12/25,3017.2815
2018/12/26,3002.0327
2018/12/27,2990.5057
2018/12/28,3010.6536
2019/1/2,2969.5353
2019/1/3,2964.8421
2019/1/4,3035.8741
2019/1/7,3054.303
2019/1/8,3047.7035
2019/1/9,3078.4759
2019/1/10,3072.6864
2019/1/11,3094.7782
2019/1/14,3067.7845
2019/1/15,3127.9904
2019/1/16,3128.6517
2019/1/17,3111.4168
2019/1/18,3168.1739
2019/1/21,3185.6364
2019/1/22,3143.3171
2019/1/23,3141.0532
2019/1/24,3158.7817
2019/1/25,3184.4696
2019/1/28,3183.7777
2019/1/29,3193.9698
2019/1/30,3168.4829
2019/1/31,3201.6331
2019/2/1,3247.3971
2019/2/11,3306.4725
2019/2/12,3330.3353
2019/2/13,3397.0276
2019/2/14,3402.1403
2019/2/15,3338.7047
2019/2/18,3445.7448
2019/2/19,3439.6078
2019/2/20,3451.9273
2019/2/21,3442.7056
2019/2/22,3520.1182
2019/2/25,3729.4831
2019/2/26,3684.6935
2019/2/27,3678.3921
2019/2/28,3669.3703
2019/3/1,3749.7143
2019/3/4,3794.104
2019/3/5,3816.0132
2019/3/6,3848.0903
2019/3/7,3808.8497
2019/3/8,3657.579
2019/3/11,3729.9546
2019/3/12,3755.3519
2019/3/13,3724.1941
2019/3/14,3698.4858
2019/3/15,3745.005
2019/3/18,3851.7479
2019/3/19,3833.9626
2019/3/20,3835.4397
2019/3/21,3836.8913
2019/3/22,3833.8013
2019/3/25,3742.8252
2019/3/26,3700.4388
2019/3/27,3743.3878
2019/3/28,3728.3953
2019/3/29,3872.3412
2019/4/1,3973.928
2019/4/2,3971.2852
2019/4/3,4022.1566
2019/4/4,4062.2309
